Step,Price,ManagerIncome,NbOp,NbSh
710,2.05,104.88,11,25
711,1.96,104.96,3,7
712,1.93,105.09,6,13
713,1.94,105.21,7,14
714,1.98,105.33,7,18
715,1.86,105.42,7,9
716,1.90,105.59,7,14
717,1.87,105.74,8,17
718,1.84,105.94,7,10
719,1.81,106.13,8,19
720,1.79,106.18,6,7
721,1.76,106.36,9,17
722,1.76,106.44,7,16
723,1.81,106.61,9,19
724,1.86,106.67,5,9
725,1.78,106.83,8,27
726,1.70,107.02,10,18
727,1.74,107.06,4,8
728,1.77,107.10,5,6
729,1.77,107.18,7,20
730,1.79,107.29,6,13
731,1.68,107.44,5,11
732,1.73,107.67,11,20
733,1.77,107.74,6,10
734,1.84,107.80,3,5
735,1.98,107.88,5,8
736,2.03,108.08,8,20
737,2.00,108.21,7,8
738,1.98,108.41,4,13
739,1.98,108.50,7,15
740,1.93,108.85,8,20
741,1.89,109.02,8,13
742,1.95,109.08,4,7
743,1.92,109.19,7,13
744,1.92,109.48,11,32
745,1.94,109.69,6,12
746,2.03,109.79,6,12
747,2.02,110.06,5,15
748,1.93,110.20,10,14
749,2.01,110.31,8,13
750,1.98,110.55,8,14
751,2.06,110.69,10,14
752,2.06,110.78,4,4
753,1.99,111.03,8,16
754,2.07,111.29,10,15
755,2.01,111.36,4,6
756,2.15,111.49,7,9
757,2.23,111.54,2,6
758,2.39,111.63,4,6
759,2.44,111.63,2,3
760,2.64,111.79,5,10
761,2.58,111.93,6,11
762,2.65,112.13,8,15
763,2.83,112.25,5,7
764,2.68,112.27,2,3
765,2.60,112.28,2,3
766,2.54,112.44,6,10
767,2.43,112.50,1,3
768,2.63,112.66,5,6
769,2.68,112.75,5,6
770,2.65,113.11,11,20
771,2.66,113.16,6,6
772,2.67,113.24,5,5
773,2.75,113.38,4,5
774,2.89,113.62,6,9
775,2.95,113.70,4,6
776,2.93,114.26,8,22
777,3.00,114.38,7,9
778,3.01,114.59,5,9
779,2.99,114.64,3,4
780,2.88,114.88,10,13
781,2.94,115.03,5,8
782,2.74,115.09,3,4
783,2.61,115.12,3,10
784,2.37,115.44,4,9
785,2.44,115.69,4,14
786,2.36,115.74,3,6
787,2.42,115.81,5,10
788,2.46,115.92,7,8
789,2.45,115.95,4,4
790,2.36,115.96,2,2
791,2.39,116.11,7,11
792,2.47,116.16,4,6
793,2.51,116.23,5,7
794,2.41,116.45,5,15
795,2.43,116.61,7,9
796,2.45,116.86,6,11
797,2.46,116.93,4,13
798,2.56,117.09,6,10
799,2.44,117.30,10,18
800,2.26,117.35,3,3
801,2.20,117.60,7,18
802,2.20,117.67,4,5
803,2.20,117.71,4,4
804,2.25,117.84,3,6
805,2.11,118.07,8,12
806,2.19,118.11,4,9
807,2.25,118.14,3,3
808,2.28,118.27,5,8
809,2.25,118.56,8,18
810,2.25,118.56,0,0
811,2.29,118.83,9,24
812,2.25,118.92,6,8
813,2.12,119.20,6,14
814,2.03,119.25,4,5
815,1.94,119.44,10,19
816,1.79,119.51,4,12
817,1.87,119.67,11,18
818,1.82,119.93,5,20
819,1.88,120.03,5,8
820,1.89,120.12,6,8
821,1.93,120.28,8,13
822,1.95,120.32,5,8
823,1.88,120.35,5,12
824,1.93,120.47,9,15
825,1.81,120.65,5,9
826,1.89,120.74,5,14
827,1.88,121.02,8,15
828,1.92,121.08,3,7
829,1.86,121.21,6,12
830,1.93,121.36,6,11
831,1.96,121.49,4,6
832,1.92,121.64,5,13
833,1.93,121.75,7,11
834,1.77,121.82,4,15
835,1.80,121.87,5,10
836,1.80,122.10,10,21
837,1.93,122.37,4,18
838,1.93,122.48,8,10
839,1.97,122.51,5,6
840,1.79,122.67,7,11
841,1.77,122.83,12,22
842,1.79,123.04,5,13
843,1.79,123.25,5,21
844,1.88,123.35,7,8
845,1.92,123.44,5,8
846,1.82,123.65,4,9
847,1.85,123.80,9,17
848,1.90,123.86,7,10
849,1.83,124.09,7,13
850,1.70,124.18,6,9
851,1.61,124.57,12,34
852,1.59,124.62,3,5
853,1.60,124.68,4,9
854,1.65,124.75,4,8
855,1.76,124.83,6,12
856,1.73,124.95,6,9
857,1.72,125.24,10,22
858,1.59,125.39,6,16
859,1.59,125.52,9,14
860,1.67,125.62,5,7
861,1.85,125.68,4,5
862,1.86,125.73,6,9
863,1.79,125.76,5,5
864,1.85,125.85,7,11
865,1.86,125.92,4,6
866,1.93,126.03,6,9
867,2.03,126.09,6,8
868,1.95,126.19,9,16
869,1.89,126.42,10,21
870,1.91,126.50,4,8
871,1.90,126.52,5,5
872,1.84,126.67,6,10
873,1.77,126.70,3,6
874,1.84,126.92,8,17
875,1.69,127.24,5,15
876,1.67,127.38,6,16
877,1.62,127.58,6,12
878,1.64,127.68,7,8
879,1.66,127.72,5,9
880,1.59,127.74,2,2
881,1.71,127.77,3,6
882,1.75,127.85,3,5
883,1.83,128.01,6,17
884,1.85,128.17,5,16
885,1.94,128.21,5,9
886,1.93,128.38,8,16
887,1.90,128.49,7,11
888,1.96,128.66,6,12
889,2.11,128.78,8,9
890,2.32,128.84,3,5
891,2.25,128.94,7,12
892,2.30,129.16,7,12
893,2.37,129.18,1,4
894,2.26,129.23,2,5
895,2.39,129.32,4,9
896,2.26,129.45,6,9
897,2.21,129.60,6,16
898,2.11,129.77,5,11
899,2.25,129.87,6,10
900,2.29,130.11,5,13
901,2.28,130.13,3,4
902,2.09,130.17,4,5
903,2.08,130.27,5,8
904,1.96,130.41,7,12
905,1.83,130.55,5,12
906,1.95,130.84,7,18
907,1.94,130.95,5,8
908,1.88,131.12,7,11
909,1.92,131.15,2,3
910,1.69,131.38,6,13
911,1.61,131.55,9,22
912,1.56,131.65,4,13
913,1.62,131.71,8,12
914,1.58,131.84,6,13
915,1.62,131.87,3,4
916,1.74,131.96,6,11
917,1.71,132.13,8,12
918,1.75,132.34,10,16
919,1.76,132.36,3,4
920,1.66,132.70,15,23
921,1.58,132.99,7,21
922,1.56,133.02,5,6
923,1.51,133.12,5,13
924,1.53,133.50,9,26
925,1.52,133.68,11,23
926,1.41,133.79,5,13
927,1.45,133.83,5,10
928,1.47,133.87,6,8
929,1.47,133.87,0,0
930,1.48,133.90,4,7
931,1.49,134.15,5,16
932,1.56,134.20,2,3
933,1.59,134.27,3,8
934,1.62,134.63,11,29
935,1.54,134.78,8,19
936,1.44,134.84,6,15
937,1.57,134.94,9,21
938,1.69,135.05,9,15
939,1.73,135.19,7,12
940,1.85,135.33,7,19
941,1.84,135.48,6,16
942,1.79,135.70,8,26
943,1.75,135.87,7,17
944,1.74,136.07,9,19
945,1.78,136.27,10,27
946,1.81,136.46,10,23
