Step Price ManagerIncome NbOp NbSh
 314 20.12         32.41    0    0
 315 19.43         32.57    1    1
 316 20.21         32.58    1    1
 317 20.21         32.58    0    0
 318 20.21         32.58    0    0
 319 20.21         32.58    0    0
 320 20.05         32.62    1    1
 321 20.05         32.62    0    0
 322 20.05         32.62    0    0
 323 20.05         32.62    0    0
 324 18.26         32.67    1    1
 325 18.26         32.67    0    0
 326 18.26         32.67    0    0
 327 17.89         32.68    1    1
 328 19.61         32.83    1    1
 329 19.61         32.83    0    0
 330 19.61         32.83    0    0
 331 17.28         32.87    1    1
 332 19.47         32.88    1    1
 333 23.09         32.93    1    1
 334 23.09         32.93    0    0
 335 23.09         32.93    0    0
 336 23.56         33.06    1    1
 337 23.56         33.06    0    0
 338 23.47         33.12    1    1
 339 24.93         33.28    1    1
 340 24.93         33.28    0    0
 341 27.28         33.32    1    1
 342 27.03         33.51    1    1
 343 27.03         33.51    0    0
 344 27.03         33.51    0    0
 345 27.03         33.51    0    0
 346 27.03         33.51    0    0
 347 27.03         33.51    0    0
 348 27.03         33.51    0    0
 349 27.03         33.51    0    0
 350 27.03         33.51    0    0
 351 27.03         33.51    0    0
 352 27.03         33.51    0    0
 353 27.03         33.51    0    0
 354 27.03         33.51    0    0
 355 27.03         33.51    0    0
 356 27.03         33.51    0    0
 357 27.82         33.61    1    1
 358 27.82         33.61    0    0
 359 27.82         33.61    0    0
 360 25.51         33.67    2    2
 361 25.51         33.67    0    0
 362 25.51         33.67    0    0
 363 25.51         33.67    0    0
 364 25.51         33.67    0    0
 365 26.93         33.69    1    1
 366 26.93         33.69    0    0
 367 26.52         33.70    1    1
 368 26.52         33.70    0    0
 369 26.52         33.70    0    0
 370 26.52         33.70    0    0
 371 26.52         33.70    0    0
 372 26.52         33.70    0    0
 373 26.52         33.70    0    0
 374 26.52         33.70    0    0
 375 26.87         33.76    1    1
 376 25.84         34.05    1    1
 377 25.84         34.05    0    0
 378 25.57         34.29    1    1
 379 25.57         34.29    0    0
 380 23.78         34.52    1    1
 381 23.78         34.52    0    0
 382 23.78         34.52    0    0
 383 23.78         34.52    0    0
 384 23.78         34.52    0    0
 385 23.78         34.52    0    0
 386 23.78         34.52    0    0
 387 23.78         34.52    0    0
 388 24.09         34.68    1    1
 389 24.35         34.87    1    1
 390 20.92         34.94    1    1
 391 20.92         34.94    0    0
 392 20.99         35.18    1    1
 393 20.99         35.18    0    0
 394 20.99         35.18    0    0
 395 23.02         35.35    1    1
 396 21.28         35.66    1    1
 397 21.28         35.66    0    0
 398 19.48         35.70    1    1
 399 19.48         35.70    0    0
 400 19.48         35.70    0    0
 401 19.48         35.70    0    0
 402 19.48         35.70    0    0
 403 19.48         35.70    0    0
 404 16.91         36.04    2    2
 405 15.68         36.09    2    2
 406 15.68         36.09    0    0
 407 15.71         36.18    1    1
 408 15.05         36.26    1    1
 409 15.05         36.26    0    0
 410 16.05         36.36    1    1
 411 16.05         36.36    0    0
 412 18.39         36.43    1    1
 413 18.39         36.43    0    0
 414 18.39         36.43    0    0
 415 18.39         36.43    0    0
 416 18.39         36.43    0    0
 417 17.31         36.44    1    1
 418 17.31         36.44    0    0
 419 17.13         36.45    1    1
 420 16.42         36.53    1    1
 421 16.21         36.70    2    2
 422 16.19         36.86    1    1
 423 16.19         36.86    0    0
 424 17.15         37.01    1    1
 425 16.94         37.20    1    1
 426 16.94         37.20    0    0
 427 15.78         37.26    1    1
 428 15.58         37.30    1    1
 429 15.58         37.30    0    0
 430 15.58         37.30    0    0
 431 17.07         37.70    1    2
 432 14.90         37.72    1    1
 433 15.87         37.78    1    1
 434 15.87         37.78    0    0
 435 15.87         37.78    0    0
 436 17.38         37.85    1    1
 437 17.38         37.85    0    0
 438 17.38         37.85    0    0
 439 16.78         37.89    1    1
 440 16.48         37.99    1    1
 441 16.38         38.08    1    1
 442 16.38         38.08    0    0
 443 17.22         38.14    1    1
 444 16.50         38.30    1    1
 445 16.50         38.30    0    0
 446 17.06         38.35    1    1
 447 17.06         38.35    0    0
 448 16.53         38.43    2    2
 449 16.53         38.43    0    0
 450 17.52         38.47    1    1
 451 17.47         38.50    1    1
 452 17.47         38.50    0    0
 453 17.47         38.50    0    0
 454 17.47         38.50    0    0
 455 17.67         38.55    1    1
 456 19.77         38.66    1    1
 457 19.77         38.66    0    0
 458 17.96         38.67    1    1
 459 19.53         39.01    3    3
 460 21.01         39.15    1    1
 461 21.15         39.15    1    1
 462 21.15         39.15    0    0
 463 21.98         39.41    1    1
 464 21.98         39.41    0    0
 465 21.98         39.41    0    0
